Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.077781886,0.049519718,-0.022905931,-0.02154541,0.058660794
1.082637824,-0.032676488,-0.034419537,-0.057042122,0.074204185
1.087494543,-0.107236832,-0.017804295,0.026464462,0.111879841
1.092352095,-0.036410868,0.005736589,-0.045042038,0.058201761
1.097208761,-0.045045316,-0.004211962,-0.023334503,0.050905011
1.102064855,-0.120724559,-0.004755661,0.033833504,0.125466097
1.106921418,0.003597021,-0.012417361,-0.042423248,0.044349311
1.11177897,0.106270373,-0.008092284,0.081344604,0.134073942
1.116635688,-0.043512285,-0.003858462,0.109113693,0.117532994
1.121491678,-0.076410413,0.000520736,-0.038999557,0.085789206
1.126348293,0.024324536,0.028951317,0.056270599,0.067795591
1.131205793,-0.051058203,0.038329467,0.084255219,0.105712014
1.136062616,-0.088348627,0.014630318,-0.092142105,0.128490053
1.140918501,0.045843244,0.041393206,-0.01066494,0.062679673
1.14577522,0.008268505,0.03729932,0.079616547,0.088308561
1.150632824,-0.060729623,0.014307767,-0.070596695,0.094216202
1.15549022,0.070450455,-0.022795409,0.022596359,0.077417651
1.160387147,0.085083753,-0.002901256,0.126832962,0.152755565
1.165243449,-0.062260568,-0.035695314,-0.068924904,0.099504654
1.17010147,0.005297482,0.002720028,-0.011397362,0.012859305
1.174969074,0.025159925,0.019153401,0.062247276,0.069818322
1.179814334,-0.074319601,0.011534631,-0.142477989,0.161109988
1.18467048,-0.009152979,-0.005750909,-0.053479195,0.054560739
1.189527876,0.082283258,0.007790789,0.082221985,0.116583386
1.194384855,0.003985256,0.011723027,-0.079953194,0.080906272
1.199240428,-0.026875347,-0.012864098,-0.022321701,0.037229392
1.204097199,0.068466544,0.038665041,0.136911392,0.157884079
1.208954751,0.027745724,0.071062699,0.009921074,0.076929579
1.213811522,-0.038925201,0.051311582,0.000337601,0.06440624
1.21866772,0.039898038,0.081870481,0.119036674,0.14988115
1.22352423,0.058885425,0.098454103,0.00170517,0.114732782
1.228340324,0.034976304,0.025078043,-0.01492691,0.045552856
1.233197095,0.116197675,0.032985002,0.111005783,0.164049365
1.23805298,0.128705412,0.038562506,0.003182411,0.134395974
1.242909751,0.029408753,-0.003444538,-0.025390625,0.039005428
1.247767199,-0.031714827,0.00191541,0.048387527,0.057886543
1.252624022,-0.00257957,0.03785567,-0.058864594,0.070033894
1.257479959,-0.03338939,0.01159665,-0.084488869,0.091584401
1.262336626,-0.047789484,-0.014793053,0.011199951,0.051265077
1.267194178,0.039668173,0.03234151,-0.052964211,0.073652867
1.272050845,0.055288136,0.007797793,-0.071492195,0.090712279
1.276906782,0.061455309,-0.002532259,0.043074608,0.07509054
1.281763501,0.148931861,0.027406514,0.021325111,0.152926703
1.286621001,0.172683418,0.019281089,-0.000295639,0.173756757
